rank,post_id,url,category,cluster,old_title,proposed_title,primary_keyword,search_intent,optimization_score,reason
88,2026-08-13-cleaning-auto-cf3699,https://honsamnote.co.kr/blog/2026-08-13-cleaning-auto-cf3699/,청소·세탁·집안일,bathroom-cleaning,"혼자 사는 당신, 샤워 후 발목까지 물이 차오르고 퀴퀴한 냄새가 난다면? 딱 10분, 배수구 막힘 근본 원인 잡고 뻥 뚫린 욕실 만드는 현실 가이드",욕실 배수구 청소 알아보기｜배수구 막힘 방지,욕실 배수구 청소,질문형,9.53,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
89,2026-08-08-lifestyle-auto-4e7860,https://honsamnote.co.kr/blog/2026-08-08-lifestyle-auto-4e7860/,관계·고립·생활 리듬,loneliness-isolation,"혼자 사는 직장인, 매일 혼밥 지겹다면? 밀키트 vs. 소셜 다이닝, 나에게 맞는 식사 경험",혼밥 해결 비교｜밀키트 추천,혼밥 해결,비교형,9.47,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
90,2026-08-03-cost-auto-d01191,https://honsamnote.co.kr/blog/2026-08-03-cost-auto-d01191/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 바쁜 당신에게 홈 서비스 구독, 과연 돈 값 할까? 똑똑하게 따져보고 후회 없이 결정하는 법",1인 가구 청소 서비스 방법｜생활비 절약,1인 가구 청소 서비스,방법형,9.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
91,2026-08-05-products-auto-9973a7,https://honsamnote.co.kr/blog/2026-08-05-products-auto-9973a7/,1인 가구 제품·서비스,products-general,"혼자 사는 직장인, 택배 분실·재배송 스트레스 끝! 1인 가구 스마트/무인 택배함, 우리 집에 딱 맞는지 따져보는 3가지 기준",1인 가구 택배 기준｜스마트 택배함,1인 가구 택배,판단형,9.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
92,2026-08-06-cleaning-auto-467d7f,https://honsamnote.co.kr/blog/2026-08-06-cleaning-auto-467d7f/,청소·세탁·집안일,kitchen-cleaning,"혼자 사는 당신, 찌든 때와의 전쟁 언제까지? 전동 청소솔 vs 손 청소, 현명한 선택 기준",전동청소솔 비교｜손청소도구,전동청소솔,비교형,9.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
93,2026-08-07-food-auto-44e578,https://honsamnote.co.kr/blog/2026-08-07-food-auto-44e578/,혼밥·식재료 관리,food-waste,"1인 가구 직장인, 특별한 요리 위해 산 비싼 식재료, 남은 거 버릴까 말까? 알뜰하게 다 쓰는 현실적인 전략",1인 가구 식재료 알아보기｜남은 식재료 활용,1인 가구 식재료,질문형,9.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
94,2026-08-08-cleaning-auto-176b73,https://honsamnote.co.kr/blog/2026-08-08-cleaning-auto-176b73/,청소·세탁·집안일,kitchen-cleaning,"혼자 사는 당신, 매일 쓰는 밥솥 속 밥풀 찌꺼기와 쿰쿰한 냄새? 15분 만에 새 밥솥처럼 깔끔하게 만드는 현실 솔루션",밥솥 냄새 알아보기｜밥솥 밥맛,밥솥 냄새,질문형,9.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
95,2026-08-08-cleaning-auto-4d4ce4,https://honsamnote.co.kr/blog/2026-08-08-cleaning-auto-4d4ce4/,청소·세탁·집안일,kitchen-cleaning,"혼자 사는 당신, 설거지 후 주방 싱크대에서 스멀스멀 올라오는 하수구 냄새? 끈적한 물때와 더딘 물 빠짐, 20분 만에 싹 잡는 현실 솔루션",싱크대 냄새 제거 알아보기｜싱크대 물 빠짐,싱크대 냄새 제거,질문형,9.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
96,2026-08-08-food-auto-9b0e80,https://honsamnote.co.kr/blog/2026-08-08-food-auto-9b0e80/,혼밥·식재료 관리,food-waste,"혼자 사는 직장인, 요리에 허브/향신료 쓰고 싶을 때: 신선 vs. 건조 vs. 분말, 당신의 요리 스타일과 지갑을 위한 최적의 선택 가이드",1인 가구 허브 비교｜혼밥 향신료,1인 가구 허브,비교형,9.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
97,2026-08-09-food-auto-937ea1,https://honsamnote.co.kr/blog/2026-08-09-food-auto-937ea1/,혼밥·식재료 관리,food-waste,"1인 가구 직장인, 신선한 고기·생선 한 팩 샀는데 한 끼 먹고 남은 것 버릴까 말까? 신선도 낭비 없이 끝까지 즐기는 현실적인 보관 & 활용 전략",1인 가구 고기 보관 알아보기｜혼밥 생선 보관,1인 가구 고기 보관,질문형,9.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
98,2026-08-09-food-auto-bd7a7d,https://honsamnote.co.kr/blog/2026-08-09-food-auto-bd7a7d/,혼밥·식재료 관리,food-waste,"혼자 사는 직장인, 요리 시간 아끼고 싶을 때: 손질 채소 vs. 통 채소, 당신의 시간과 지갑을 위한 현명한 선택",1인 가구 채소 비교｜손질 채소 구매,1인 가구 채소,비교형,9.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
99,2026-08-12-cleaning-auto-4cf6ca,https://honsamnote.co.kr/blog/2026-08-12-cleaning-auto-4cf6ca/,청소·세탁·집안일,kitchen-cleaning,"혼자 사는 당신, 주방에 갑자기 초파리 떼가 들끓는다고요? 딱 15분, 근본 원인 싹 잡고 다시는 안 보는 현실 솔루션",초파리 없애는 법 알아보기｜주방 초파리,초파리 없애는 법,질문형,9.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
100,2026-08-13-cost-auto-590148,https://honsamnote.co.kr/blog/2026-08-13-cost-auto-590148/,생활비 최적화,general-living-cost,"혼자 사는 직장인, 매달 통장 스쳐 가는 숨은 구독료에 놀란다면? OTT 외 디지털 구독 서비스 비용 확 줄이는 법",1인 가구 구독 서비스 비용 정리｜디지털 구독료 절약,1인 가구 구독 서비스,비용형,9.4,"대표 키워드가 원제목에 없어 새 제목이 원래 의미와 달라질 수 있음(추가 검토 필요) → 재판정: 재판정: 제안 제목이 대표 키워드+명확한 검색의도를 포함하고, 다른 글과 충돌하지 않아 안전하게 적용 가능 [HIGH]"
