rank,post_id,url,current_title,proposed_title,primary_keyword,search_intent,cluster,primary_page,score,grade,confidence,action,reason
215,2026-08-09-cleaning-auto-c10b6d,https://honsamnote.co.kr/blog/2026-08-09-cleaning-auto-c10b6d/,"혼자 사는 당신, 퇴근 후 끈적이는 바닥 청소 스트레스? 좁은 집 로봇 청소기 vs 무선 스틱 청소기, 후회 없는 선택 기준",로봇청소기 비교｜무선 스틱 청소기,로봇청소기,비교형,cleaning-general,no,8,A,HIGH,APPLIED,"A등급 재판정: score 8.0, 대표 키워드+의도 포함, 충돌 없음"
216,2026-08-09-cleaning-auto-e21eb5,https://honsamnote.co.kr/blog/2026-08-09-cleaning-auto-e21eb5/,"혼자 사는 당신, 잠자리가 꿉꿉하고 간지럽다면? 매트리스 위생, 딱 30분이면 충분합니다!",혼자 매트리스 청소 알아보기｜매트리스 관리법,혼자 매트리스 청소,질문형,odor-removal,no,8,A,HIGH,APPLIED,"A등급 재판정: score 8.0, 대표 키워드+의도 포함, 충돌 없음"
217,2026-08-12-cost-auto-b36efb,https://honsamnote.co.kr/blog/2026-08-12-cost-auto-b36efb/,"혼자 사는 직장인, 새 가구/가전 장만할 때마다 지갑 텅 비는 기분이라면? 새것 vs 중고 vs 렌탈, 후회 없는 선택 가이드",1인 가구 가구 비교｜중고 가구,1인 가구 가구,비교형,general-living-cost,no,8,A,HIGH,APPLIED,"A등급 재판정: score 8.0, 대표 키워드+의도 포함, 충돌 없음"
218,2026-08-01-food-auto-174113,https://honsamnote.co.kr/blog/2026-08-01-food-auto-174113/,"자주 장 볼까, 한 번에 살까? 1인 가구 직장인, 시간과 돈 아끼는 식재료 쇼핑 주기 최적화 가이드",1인 가구 식재료 알아보기｜장보기 주기,1인 가구 식재료,질문형,food-waste,no,7.9,A,HIGH,APPLIED,"A등급 재판정: score 7.9, 대표 키워드+의도 포함, 충돌 없음"
219,2026-08-01-food-auto-7f290f,https://honsamnote.co.kr/blog/2026-08-01-food-auto-7f290f/,"퇴근 후 요리 시간 아끼는 1인 가구 직장인, 미니 다지기 vs. 칼질: 당신의 손목과 시간을 위한 현명한 선택",1인 가구 요리 비교｜미니 다지기 추천,1인 가구 요리,비교형,food-general,no,7.9,A,HIGH,APPLIED,"A등급 재판정: score 7.9, 대표 키워드+의도 포함, 충돌 없음"
220,2026-08-04-cleaning-auto-99cb94,https://honsamnote.co.kr/blog/2026-08-04-cleaning-auto-99cb94/,"혼자 사는 당신, 퇴근 후 끈적이는 바닥? 손 걸레질 vs 스팀 청소기, 후회 없는 선택 기준",1인 가구 바닥 청소 비교｜스팀 청소기 추천,1인 가구 바닥 청소,비교형,cleaning-general,no,7.9,A,HIGH,APPLIED,"A등급 재판정: score 7.9, 대표 키워드+의도 포함, 충돌 없음"
221,2026-08-06-lifestyle-auto-7d8463,https://honsamnote.co.kr/blog/2026-08-06-lifestyle-auto-7d8463/,"혼자 사는 직장인, 퇴근 후 적당한 외부 활동 찾기가 망설여진다면? 소규모 취미 클래스 vs. 단기 체험 모임, 나에게 맞는 선택 기준",퇴근 후 활동 비교｜소규모 취미,퇴근 후 활동,비교형,relationship-management,no,7.9,A,HIGH,APPLIED,"A등급 재판정: score 7.8, 대표 키워드+의도 포함, 충돌 없음"
222,2026-08-07-cleaning-auto-40f096,https://honsamnote.co.kr/blog/2026-08-07-cleaning-auto-40f096/,"혼자 사는 당신, 퇴근 후 쌓이는 집안일 부담? 가사도우미 vs. 직접 청소, 현명한 선택 기준",1인 가구 청소 비교｜가사 서비스,1인 가구 청소,비교형,cleaning-tools-time,no,7.9,A,HIGH,APPLIED,"A등급 재판정: score 7.9, 대표 키워드+의도 포함, 충돌 없음"
223,2026-08-08-food-auto-89f7c0,https://honsamnote.co.kr/blog/2026-08-08-food-auto-89f7c0/,"1인 가구 직장인, 쌀 한 포대 앞에서 망설일 때: 소량 팩 vs. 대용량, 아니면 즉석밥? 당신의 밥상과 지갑을 위한 최적의 선택",1인 가구 쌀 비교｜쌀 보관,1인 가구 쌀,비교형,food-general,no,7.9,A,HIGH,APPLIED,"A등급 재판정: score 7.9, 대표 키워드+의도 포함, 충돌 없음"
224,2026-08-10-lifestyle-auto-1dd1a3,https://honsamnote.co.kr/blog/2026-08-10-lifestyle-auto-1dd1a3/,"혼자 사는 직장인, 혹시 모를 상황에 대비한 긴급 연락처, 누구로 지정해야 할지 고민이라면? 나만의 스마트 비상 연락 시스템 구축 가이드",1인 가구 긴급 연락처 알아보기｜혼자 살 때 비상 연락망,1인 가구 긴급 연락처,질문형,relationship-management,no,7.9,A,HIGH,APPLIED,"A등급 재판정: score 7.8, 대표 키워드+의도 포함, 충돌 없음"
225,2026-08-12-cleaning-auto-868b91,https://honsamnote.co.kr/blog/2026-08-12-cleaning-auto-868b91/,"혼자 사는 당신, 답답하고 칙칙한 유리창? 1시간 만에 밝고 시원하게 되돌리는 현실 솔루션",유리창 닦는법 알아보기｜창문 청소,유리창 닦는법,질문형,cleaning-general,no,7.9,A,HIGH,APPLIED,"A등급 재판정: score 7.9, 대표 키워드+의도 포함, 충돌 없음"
226,2026-07-30-housing-42,https://honsamnote.co.kr/blog/2026-07-30-housing-42/,"내 첫 원룸 계약, 퇴근 후 15분으로 손해 없이 똑똑하게 확인하는 법",원룸 계약 전 확인사항 방법｜혼자 살기,원룸 계약 전 확인사항,방법형,moving-prep,yes,7.8,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
227,2026-07-31-cleaning-68,https://honsamnote.co.kr/blog/2026-07-31-cleaning-68/,"퇴근 후 발견한 화장실 날벌레, 하룻밤 만에 뿌리 뽑는 현실적인 초고속 퇴치법",화장실벌레 해결 방법｜날벌레없애는법,화장실벌레,문제해결형,bathroom-cleaning,no,7.8,A,HIGH,APPLIED,"A등급 재판정: score 7.8, 대표 키워드+의도 포함, 충돌 없음"
228,2026-08-06-food-auto-75ad3e,https://honsamnote.co.kr/blog/2026-08-06-food-auto-75ad3e/,"혼자 사는 직장인, 냉동실에 뭐가 있는지 맨날 까먹을 때? 식재료 낭비 막는 효율적인 정리와 관리법",1인 가구 냉동실 알아보기｜냉동식품 보관,1인 가구 냉동실,질문형,food-waste,no,7.8,A,HIGH,APPLIED,"A등급 재판정: score 7.8, 대표 키워드+의도 포함, 충돌 없음"
229,2026-08-07-food-auto-f5cf37,https://honsamnote.co.kr/blog/2026-08-07-food-auto-f5cf37/,"혼자 사는 직장인, 특정 요리가 당길 때: 원팩 밀키트 vs. 개별 소량 식재료 구매, 당신의 시간과 지갑을 위한 현명한 선택",1인 가구 밀키트 비교｜소량 식재료,1인 가구 밀키트,비교형,food-waste,no,7.8,A,HIGH,APPLIED,"A등급 재판정: score 7.8, 대표 키워드+의도 포함, 충돌 없음"
230,2026-08-10-storage-auto-48f5a4,https://honsamnote.co.kr/blog/2026-08-10-storage-auto-48f5a4/,"1인 가구 직장인, 좁은 주방 '수납 공간 잡아먹는' 주방 가전 때문에 고민이라면? '싱글 기능 vs 멀티 기능' 가전, 현명하게 고르는 법 비교",좁은주방 비교｜싱글기능가전,좁은주방,비교형,storage-general,no,7.8,A,HIGH,APPLIED,"A등급 재판정: score 7.8, 대표 키워드+의도 포함, 충돌 없음"
231,2026-08-14-storage-auto-fcf546,https://honsamnote.co.kr/blog/2026-08-14-storage-auto-fcf546/,"1인 가구 직장인, 좁은 주방 '넘쳐나는 텀블러·물병·도시락 통' 때문에 싱크대 문이 닫히지 않는다면? 깔끔하게 정리하고 위생적으로 쓰는 현실 수납법",텀블러 수납 알아보기｜물병 정리,텀블러 수납,질문형,kitchen-storage,no,7.8,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
232,2026-08-01-housing-auto-bd24e0,https://honsamnote.co.kr/blog/2026-08-01-housing-auto-bd24e0/,"혼자 사는 직장인, 늦은 밤 이웃 소음에 잠 못 들 때? 감정 소모 줄이고 똑똑하게 해결하는 순서",이웃 소음 해결 알아보기｜층간소음 대처,이웃 소음 해결,질문형,housing-general,no,7.7,A,HIGH,APPLIED,"A등급 재판정: score 7.7, 대표 키워드+의도 포함, 충돌 없음"
233,2026-08-07-safety-auto-7d0e1d,https://honsamnote.co.kr/blog/2026-08-07-safety-auto-7d0e1d/,"혼자 사는 당신, 쓰러지거나 의식 없을 때: 스마트 비상 연락 시스템 vs. 비상 키 공유, 어떤 대비책이 나에게 맞을까?",1인 가구 응급 비교｜혼자 살 때 안전,1인 가구 응급,비교형,safety-general,no,7.7,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
234,2026-08-08-housing-auto-fd6c09,https://honsamnote.co.kr/blog/2026-08-08-housing-auto-fd6c09/,"혼자 사는 직장인, 매년 겨울 외풍 때문에 난방비 폭탄 걱정이라면? 문풍지 vs 전문 시공, 내 돈 아끼는 현명한 선택 가이드",1인 가구 외풍 차단 비교｜난방비 절약,1인 가구 외풍 차단,비교형,housing-general,no,7.7,A,HIGH,APPLIED,"A등급 재판정: score 7.7, 대표 키워드+의도 포함, 충돌 없음"
235,2026-08-08-safety-auto-9834c4,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-9834c4/,"혼자 사는 당신, 냉장고 속 식재료 유통기한 때문에 고민될 때: 식중독 걱정 없이 안전하게 관리하고 섭취하는 현실적인 방법",1인 가구 식재료 방법｜유통기한,1인 가구 식재료,방법형,safety-general,no,7.7,A,HIGH,APPLIED,"A등급 재판정: score 7.7, 대표 키워드+의도 포함, 충돌 없음"
236,2026-07-30-safety-38,https://honsamnote.co.kr/blog/2026-07-30-safety-38/,"퇴근 후 쌓이는 택배 송장, 개인정보 노출 없이 안전하게 버리는 확실한 방법",택배 개인정보 방법｜송장 처리,택배 개인정보,방법형,safety-general,no,7.6,A,HIGH,APPLIED,"A등급 재판정: score 7.6, 대표 키워드+의도 포함, 충돌 없음"
237,2026-08-05-housing-auto-7ef549,https://honsamnote.co.kr/blog/2026-08-05-housing-auto-7ef549/,"혼자 사는 직장인, 새집 인터넷·TV 가입! 통신 3사 vs 알뜰 결합 vs 지역 케이블, 내 돈 아끼는 현명한 선택 가이드",1인가구인터넷 비교｜통신3사,1인가구인터넷,비교형,housing-general,no,7.6,A,HIGH,APPLIED,"A등급 재판정: score 7.6, 대표 키워드+의도 포함, 충돌 없음"
238,2026-08-06-housing-auto-baef02,https://honsamnote.co.kr/blog/2026-08-06-housing-auto-baef02/,"혼자 사는 직장인, 집에 바퀴벌레가 출몰했다면? 당황 말고 내 돈 아끼며 완벽 박멸하는 법",바퀴벌레 퇴치 방법｜원룸 바퀴벌레,바퀴벌레 퇴치,방법형,management-fee,no,7.6,A,HIGH,APPLIED,"A등급 재판정: score 7.6, 대표 키워드+의도 포함, 충돌 없음"
239,2026-08-07-food-auto-bb56bf,https://honsamnote.co.kr/blog/2026-08-07-food-auto-bb56bf/,"혼자 사는 직장인, 냉장고 속 '조금 애매한 상태' 식재료, 버릴까 말까? 안전하게 판단하고 알뜰하게 활용하는 법",1인 가구 식재료 기준｜애매한 식재료,1인 가구 식재료,판단형,food-waste,no,7.6,A,HIGH,APPLIED,"A등급 재판정: score 7.6, 대표 키워드+의도 포함, 충돌 없음"
240,2026-08-09-housing-auto-1e381e,https://honsamnote.co.kr/blog/2026-08-09-housing-auto-1e381e/,"혼자 사는 직장인, 장기간 집 비울 때? 스마트 기기 vs 지인 vs 관리사무소, 뭘 믿어야 안심될까?",혼자 살 때 집 비우기 비교｜장기 부재 주택 관리,혼자 살 때 집 비우기,비교형,housing-general,no,7.6,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
241,2026-08-13-housing-auto-5aa38a,https://honsamnote.co.kr/blog/2026-08-13-housing-auto-5aa38a/,"혼자 사는 직장인, 택배 분실·도난 걱정으로 스트레스받지 마세요! 우리 집 현관 앞 택배 100% 안전하게 받는 현실적인 방법",혼자 사는 직장인 택배 방법｜택배 분실,혼자 사는 직장인 택배,방법형,housing-general,no,7.6,A,HIGH,APPLIED,"A등급 재판정: score 7.6, 대표 키워드+의도 포함, 충돌 없음"
242,2026-08-01-cost-auto-0d71f8,https://honsamnote.co.kr/blog/2026-08-01-cost-auto-0d71f8/,"혼자 사는 직장인, 배달 앱 유료 멤버십, 나에게 진짜 이득일까? 손익분기점 계산해 후회 없이 결정하는 법",1인 가구 배달 앱 방법｜배달비 아끼는 법,1인 가구 배달 앱,방법형,general-living-cost,no,7.5,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
243,2026-08-01-cost-auto-4a41b3,https://honsamnote.co.kr/blog/2026-08-01-cost-auto-4a41b3/,"혼자 사는 직장인, 빨래 쌓일 때마다 한숨 나온다면? 코인 세탁방 vs. 미니 세탁기, 후회 없는 선택 가이드",1인 가구 세탁 비교｜코인빨래방,1인 가구 세탁,비교형,general-living-cost,no,7.5,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
244,2026-08-06-cost-auto-e2088d,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-e2088d/,"혼자 사는 직장인, 냉장고 속 '애매한' 남은 음식물, 버리기 아깝다면? 식비 절약하고 건강까지 챙기는 현명한 처리법",남은 음식물 처리 방법｜냉장고 정리,남은 음식물 처리,방법형,general-living-cost,no,7.5,A,HIGH,APPLIED,"A등급 재판정: score 7.5, 대표 키워드+의도 포함, 충돌 없음"
245,2026-08-07-storage-auto-2cdaeb,https://honsamnote.co.kr/blog/2026-08-07-storage-auto-2cdaeb/,"1인 가구 직장인, 좁은 현관 신발 더미에 발 걸린다면? '오픈형 vs 슬림형 신발장' 내게 맞는 선택 기준 비교",1인 가구 신발장 비교｜좁은 현관 신발 정리,1인 가구 신발장,비교형,entryway-storage,no,7.5,A,HIGH,APPLIED,"A등급 재판정: score 7.5, 대표 키워드+의도 포함, 충돌 없음"
246,2026-08-08-cleaning-auto-c188df,https://honsamnote.co.kr/blog/2026-08-08-cleaning-auto-c188df/,"혼자 사는 당신, 쓰고 남은 기름, 아무렇게나 버렸다간 큰코다쳐요! 폐식용유 깔끔하게 버리고 환경 지키는 현실 가이드",폐식용유 버리는 법 해결 방법｜음식물 기름 처리,폐식용유 버리는 법,문제해결형,kitchen-cleaning,no,7.5,A,HIGH,APPLIED,"A등급 재판정: score 7.5, 대표 키워드+의도 포함, 충돌 없음"
247,2026-08-08-cost-auto-770f4a,https://honsamnote.co.kr/blog/2026-08-08-cost-auto-770f4a/,"혼자 사는 직장인, 답답한 실내 공기, 어떻게 관리해야 할까? 공기청정기 vs 제습기 vs 환기, 내게 맞는 최적의 선택은?",1인 가구 공기청정기 비교｜원룸 제습기,1인 가구 공기청정기,비교형,general-living-cost,no,7.5,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
248,2026-08-08-safety-auto-55b509,https://honsamnote.co.kr/blog/2026-08-08-safety-auto-55b509/,"혼자 사는 당신, 작은 부상에도 덜컥 겁나는 순간: DIY 구급상자 vs. 시판 기성품, 나에게 맞는 선택은?",1인 가구 구급상자 비교｜DIY 구급상자,1인 가구 구급상자,비교형,safety-general,no,7.5,A,HIGH,APPLIED,"A등급 재판정: score 7.5, 대표 키워드+의도 포함, 충돌 없음"
249,2026-08-09-cost-auto-80b3c9,https://honsamnote.co.kr/blog/2026-08-09-cost-auto-80b3c9/,"혼자 사는 직장인, 매주 장보기 귀찮고 음식물 쓰레기 걱정된다면? 식료품 정기배송 vs 직접 장보기, 내게 맞는 최적의 선택은?",1인 가구 장보기 비교｜식료품 정기배송,1인 가구 장보기,비교형,general-living-cost,no,7.5,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
250,2026-08-09-storage-auto-897697,https://honsamnote.co.kr/blog/2026-08-09-storage-auto-897697/,"1인 가구 직장인, 갑자기 필요한 '공구' 때문에 좁은 집 서랍 뒤지다 지친다면? 필수 공구 깔끔하게 수납하고 바로 찾는 현실 가이드",1인 가구 공구 알아보기｜좁은 집 공구 수납,1인 가구 공구,질문형,appliance-layout,no,7.5,A,HIGH,APPLIED,"A등급 재판정: score 7.5, 대표 키워드+의도 포함, 충돌 없음"
251,2026-08-01-food-auto-7bc9dc,https://honsamnote.co.kr/blog/2026-08-01-food-auto-7bc9dc/,"1인 가구 직장인, 매일 밥 짓는 번거로움과 햇반의 지갑 압박 사이: 미니 밥솥 vs. 즉석밥, 당신의 최적 선택 가이드",1인 가구 밥 비교｜미니 밥솥,1인 가구 밥,비교형,solo-cooking-tips,no,7.4,A,HIGH,APPLIED,"A등급 재판정: score 7.4, 대표 키워드+의도 포함, 충돌 없음"
252,2026-08-05-cost-auto-e4ec33,https://honsamnote.co.kr/blog/2026-08-05-cost-auto-e4ec33/,"혼자 사는 직장인, 매달 쓰레기 봉투값도 아깝다면? 생활 폐기물 비용 줄이고 버리는 스트레스 없애는 법",1인 가구 쓰레기 비용 정리｜쓰레기봉투 가격,1인 가구 쓰레기,비용형,general-living-cost,no,7.4,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
253,2026-08-06-food-auto-dea971,https://honsamnote.co.kr/blog/2026-08-06-food-auto-dea971/,"혼자 사는 직장인, 신선 채소 한 팩 앞에서 망설일 때: 버리지 않고 끝까지 신선하게 즐기는 현실적인 구매부터 소비 전략",1인 가구 채소 해결 방법｜혼자 채소 보관,1인 가구 채소,문제해결형,food-waste,no,7.4,A,HIGH,APPLIED,"A등급 재판정: score 7.4, 대표 키워드+의도 포함, 충돌 없음"
254,2026-08-13-cleaning-auto-545cef,https://honsamnote.co.kr/blog/2026-08-13-cleaning-auto-545cef/,"혼자 사는 당신, 자취방에 쌓인 못 쓰는 가구와 가전, 어떻게 버려야 할지 막막하다고? 딱 15분, 골치 아픈 대형 폐기물 스마트하게 처리하는 현실 가이드",대형 폐기물 처리 기준｜소형 가전 버리기,대형 폐기물 처리,판단형,trash-disposal,no,7.4,A,HIGH,APPLIED,"A등급 재판정: score 7.4, 대표 키워드+의도 포함, 충돌 없음"
255,2026-08-14-safety-auto-2f3ee3,https://honsamnote.co.kr/blog/2026-08-14-safety-auto-2f3ee3/,"혼자 사는 당신, 겨울철 강추위에 갑자기 수도 동파가 걱정될 때: 당황하지 않고 예방하고 대처하는 현실적인 방법",동파예방 방법｜수도관동파,동파예방,방법형,safety-general,no,7.4,A,HIGH,APPLIED,"A등급 재판정: score 7.3, 대표 키워드+의도 포함, 충돌 없음"
256,2026-08-01-safety-auto-909169,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-909169/,"혼자 사는 당신, 퇴근 후 문이 잠겼을 때? 열쇠 분실 대비, 현명한 선택 가이드",문 잠겼을 때 비용 정리｜열쇠 잃어버렸을 때,문 잠겼을 때,비용형,lock-security,no,7.3,A,HIGH,APPLIED,"A등급 재판정: score 7.3, 대표 키워드+의도 포함, 충돌 없음"
257,2026-08-01-safety-auto-c574d6,https://honsamnote.co.kr/blog/2026-08-01-safety-auto-c574d6/,"혼자 사는 당신, 외부 침입 대비할 때? 스마트 도어벨 vs. 가정용 CCTV, 나에게 맞는 현관 보안은?",스마트 도어벨 비교｜가정용 CCTV,스마트 도어벨,비교형,lock-security,no,7.3,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
258,2026-08-03-storage-auto-9015de,https://honsamnote.co.kr/blog/2026-08-03-storage-auto-9015de/,"1인 가구 직장인, 필요한 작은 물건 찾다 시간 다 보낸다면? '숨은 아이템' 한 번에 찾아내는 현실 수납법",작은물건수납 알아보기｜케이블정리,작은물건수납,질문형,storage-general,no,7.3,A,HIGH,APPLIED,"A등급 재판정: score 7.3, 대표 키워드+의도 포함, 충돌 없음"
259,2026-08-04-cost-auto-dac7b3,https://honsamnote.co.kr/blog/2026-08-04-cost-auto-dac7b3/,"혼자 사는 직장인, 건강 관리 돈 아끼려면? 헬스장 vs 홈트 vs 야외 운동, 내게 맞는 선택 기준 3가지",1인 가구 운동 비교｜헬스장 비용,1인 가구 운동,비교형,general-living-cost,no,7.3,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
260,2026-08-05-safety-auto-9a8ad6,https://honsamnote.co.kr/blog/2026-08-05-safety-auto-9a8ad6/,"혼자 사는 당신, 퇴근 후 안전하게 택배를 받을 때? 스마트 무인 택배함 vs. 문 앞 비대면 배송, 나에게 맞는 선택은?",1인 가구 택배 비교｜무인 택배함 장단점,1인 가구 택배,비교형,lock-security,no,7.3,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
261,2026-08-11-cost-auto-ff0274,https://honsamnote.co.kr/blog/2026-08-11-cost-auto-ff0274/,"혼자 사는 직장인, 매번 휴지·키친타월 살 때마다 후회된다면? 대용량 vs 소량, 현명한 선택 가이드",1인 가구 휴지 비교｜키친타월 구매,1인 가구 휴지,비교형,general-living-cost,no,7.3,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
262,2026-08-14-storage-auto-8ede60,https://honsamnote.co.kr/blog/2026-08-14-storage-auto-8ede60/,"1인 가구 직장인, 좁은 주방 ‘열린 과자봉지·애매한 식재료’ 때문에 조리대가 엉망이라면? 밀폐 용기 vs 집게/클립, 내게 맞는 선택 기준 비교",좁은주방 비교｜식재료수납,좁은주방,비교형,storage-general,no,7.3,A,HIGH,APPLIED,"A등급 재판정: score 7.3, 대표 키워드+의도 포함, 충돌 없음"
263,2026-07-30-cost-5,https://honsamnote.co.kr/blog/2026-07-30-cost-5/,"바쁜 1인 가구 직장인, 매달 새는 돈 막으려면? 잠든 구독 서비스 깨끗하게 정리하는 3단계",구독서비스 정리 방법｜넷플릭스 해지,구독서비스 정리,방법형,subscription-cost,yes,7.2,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
264,2026-07-30-cost-7,https://honsamnote.co.kr/blog/2026-07-30-cost-7/,혼자 사는데 왜 이렇게 비싸지? 관리비 내역 파헤쳐 불필요한 지출 줄이는 법,관리비 절약 알아보기｜관리비 줄이는 법,관리비 절약,질문형,cost-general,no,7.2,A,HIGH,APPLIED,"A등급 재판정: score 7.2, 대표 키워드+의도 포함, 충돌 없음"
265,2026-07-30-storage-17,https://honsamnote.co.kr/blog/2026-07-30-storage-17/,"직장인 원룸러, 좁은 집도 넓게 쓰는 '침실-거실' 공간분리 현실 가이드",원룸 침실 분리 해결 방법｜원룸 거실 분리,원룸 침실 분리,문제해결형,appliance-layout,yes,7.2,A,HIGH,APPLIED,"A등급 재판정: score 7.2, 대표 키워드+의도 포함, 충돌 없음"
266,2026-08-07-cost-auto-431981,https://honsamnote.co.kr/blog/2026-08-07-cost-auto-431981/,"혼자 사는 직장인, 덥고 추울 때마다 전기요금 폭탄 걱정된다면? 숨은 전력 도둑 잡고 요금 확 줄이는 3단계 전략",1인 가구 전기요금 비용 정리｜전기세 절약,1인 가구 전기요금,비용형,electricity-bill,yes,7.2,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
267,2026-07-30-storage-23,https://honsamnote.co.kr/blog/2026-07-30-storage-23/,"이사 앞둔 1인 가구, 버릴 물건에 발목 잡혔다면? 손해 없이 후회 없이 짐 줄이는 현실 가이드",1인 가구 이사 알아보기｜이사 짐 줄이기,1인 가구 이사,질문형,storage-general,no,7.1,A,HIGH,APPLIED,"A등급 재판정: score 7.1, 대표 키워드+의도 포함, 충돌 없음"
268,2026-08-06-cost-auto-c59747,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-c59747/,"혼자 사는 직장인, 밤마다 OTT 유목민이라면? 나에게 딱 맞는 구독 전략으로 매달 만원 아끼는 법",OTT 구독료 줄이기 비용 정리｜넷플릭스 요금,OTT 구독료 줄이기,비용형,general-living-cost,no,7.1,A,MEDIUM,HOLD(MEDIUM),fact-check 위험 있는 글 — 제목 변경 보류(내용 검증 우선)
269,2026-08-06-cost-auto-cfda8d,https://honsamnote.co.kr/blog/2026-08-06-cost-auto-cfda8d/,"혼자 사는 직장인, 매일 마시는 커피값에 지갑이 텅 빈다면? 홈 카페 vs 외부 구매, 내게 맞는 경제적인 선택은?",1인 가구 커피 비교｜커피값 절약,1인 가구 커피,비교형,general-living-cost,no,7.1,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
270,2026-08-09-safety-auto-eb5e4c,https://honsamnote.co.kr/blog/2026-08-09-safety-auto-eb5e4c/,"혼자 사는 당신, 퇴근 후 현관문이 잠겨 집 못 들어갈 때: 당황하지 않고 안전하게 집으로 돌아가는 현실적인 방법",1인 가구 현관문 잠김 방법｜열쇠 분실 대처,1인 가구 현관문 잠김,방법형,lock-security,no,7.1,A,HIGH,APPLIED,"A등급 재판정: score 7.1, 대표 키워드+의도 포함, 충돌 없음"
271,2026-07-30-products-54,https://honsamnote.co.kr/blog/2026-07-30-products-54/,"바쁜 1인 가구, 남은 밥 버릴 걱정 없이 딱 맞는 전기밥솥 고르는 3가지 기준",1인 가구 전기밥솥 기준｜미니 밥솥,1인 가구 전기밥솥,판단형,kitchen-appliances,no,7,A,HIGH,APPLIED,"A등급 재판정: score 7.0, 대표 키워드+의도 포함, 충돌 없음"
272,2026-07-30-storage-19,https://honsamnote.co.kr/blog/2026-07-30-storage-19/,"1인 가구 직장인, 침대 밑 빈 공간에 짐 넣기 전 반드시 확인해야 할 3가지",침대밑수납 해결 방법｜원룸수납,침대밑수납,문제해결형,oneroom-storage,no,7,A,HIGH,APPLIED,"A등급 재판정: score 7.0, 대표 키워드+의도 포함, 충돌 없음"
273,2026-07-31-cleaning-79,https://honsamnote.co.kr/blog/2026-07-31-cleaning-79/,"주말 순삭하는 청소 지옥? 1인 가구, 정기 청소 vs 직접 청소 딱 맞는 답 찾는 법",1인 가구 청소 비교｜정기 청소서비스 비용,1인 가구 청소,비교형,cleaning-tools-time,no,7,A,HIGH,APPLIED,"A등급 재판정: score 7.0, 대표 키워드+의도 포함, 충돌 없음"
274,2026-08-01-cleaning-auto-48265b,https://honsamnote.co.kr/blog/2026-08-01-cleaning-auto-48265b/,"혼자 사는 당신, 퇴근 후 마주하는 음식물 쓰레기 냄새? 지금 당장 싹 잡고 깔끔하게 처리하는 법",1인 가구 음식물 쓰레기 방법｜음식물 쓰레기 냄새,1인 가구 음식물 쓰레기,방법형,odor-removal,no,7,A,HIGH,APPLIED,"A등급 재판정: score 7.0, 대표 키워드+의도 포함, 충돌 없음"
275,2026-08-01-cost-auto-8e14b1,https://honsamnote.co.kr/blog/2026-08-01-cost-auto-8e14b1/,"혼자 사는 직장인, 대용량 생필품/식료품, 사야 할까? 말아야 할까? 내게 맞는 구매 기준 3단계",1인 가구 대용량 비교｜혼자 살 때 장보기,1인 가구 대용량,비교형,general-living-cost,no,7,C,LOW,HOLD(C),role-split candidate — 제목에 서로 다른 검색의도/주제가 섞여 있어 보임(자동 분리하지 않음)
